Position,Age,Team_from,League_from,Team_to,League_to,Season_transferred,Transfer_fee_in_mln,Market_value_in_mln,Lastname,club,overall,potential,Season,Name,Nationality,nationality_match_source,log_transfer_fee,fee_minus_value,market_value_per_potential,Nationality_bucket,league_median_fee_to,team_to_median_fee,age_bucket,position_bucket,league_country_to,nationality_matches_league_to,high_overall,is_top_club_to,is_top_league
Forward,30,TSG Hoffenheim,1.Bundesliga,Bayern Munich ,1.Bundesliga,2017,13.0,9.0,Wagner,TSG Hoffenheim,76.0,76.0,2017.0,Sandro Wagner,Germany,fallback_lastname_season,2.6390573296152584,4.0,0.11842105263157894,Top 1-15,12.0,30.0,27-29,Forward,Germany,True,True,False,True
Forward,22,Montpellier,Ligue 1,Huddersfield,Premier League,2017,13.0,5.5,Mounie,Montpellier,68.0,76.0,2017.0,Steve Mounié,Benin,fallback_lastname_season,2.6390573296152584,7.5,0.07236842105263158,Top 31-45,15.1,9.55,20-23,Forward,England,False,False,False,True
Left Winger,20,Bor. Dortmund,1.Bundesliga,Celta de Vigo,LaLiga,2017,13.0,5.0,Mor,Bor. Dortmund,64.0,84.0,2017.0,Emre Mor,Turkey,fallback_lastname_season,2.6390573296152584,8.0,0.05952380952380952,Top 16-30,13.75,7.5,<20,Winger,Spain,False,False,False,True
Central Midfield,28,UD Las Palmas,LaLiga,Swansea,Premier League,2017,12.5,12.0,Mesa,UD Las Palmas,79.0,80.0,2017.0,Roque Mesa,Spain,fallback_team_from,2.6026896854443837,0.5,0.15,Top 1-15,15.1,12.5,27-29,Midfielder,England,False,True,False,True
Centre-Back,28,Fenerbahce,Süper Lig,Sevilla FC,LaLiga,2017,12.5,11.0,Kjr,Fenerbahce,82.0,83.0,2017.0,Simon Kjær,Denmark,fallback_lastname_season,2.6026896854443837,1.5,0.13253012048192772,Top 16-30,13.75,8.35,27-29,Defender,Spain,False,True,True,True
Centre-Back,28,Bor. Dortmund,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2017,12.5,7.0,Bender,Bor. Dortmund,82.0,83.0,2017.0,Sven Bender,Germany,fallback_lastname_season,2.6026896854443837,5.5,0.08433734939759036,Top 1-15,12.0,13.0,27-29,Defender,Germany,True,True,False,True
Attacking Midfield,24,Norwich,Championship,Huddersfield,Premier League,2017,12.35,5.0,Pritchard,Norwich,73.0,81.0,2017.0,Alex Pritchard,England,fallback_lastname_season,2.5915163848462583,7.35,0.06172839506172839,Top 1-15,15.1,9.55,20-23,Midfielder,England,True,False,False,True
Attacking Midfield,18,Independiente,Primera División,Atlanta United,MLS,2017,12.28,6.5,Barco,Independiente,60.0,76.0,2017.0,Ezequiel Barco,Argentina,fallback_team_from,2.5862591440482876,5.779999999999999,0.08552631578947369,Top 1-15,6.355,12.28,<20,Midfielder,United States,False,False,False,False
Centre-Back,27,Bay. Leverkusen,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2017,12.0,16.0,Toprak,Bay. Leverkusen,84.0,85.0,2017.0,Ömer Toprak,Turkey,fallback_lastname_season,2.5649493574615367,-4.0,0.18823529411764706,Top 16-30,12.0,16.0,24-26,Defender,Germany,False,True,False,True
Right Winger,23,Everton,Premier League,FC Barcelona,LaLiga,2017,12.0,12.0,Deulofeu,Everton,81.0,88.0,2017.0,Gerard Deulofeu,Spain,fallback_team_from,2.5649493574615367,0.0,0.13636363636363635,Top 1-15,13.75,32.285,20-23,Winger,Spain,True,True,False,True
Attacking Midfield,21,Malaga CF,LaLiga,Villarreal CF,LaLiga,2017,12.0,10.0,Fornals,Malaga CF,76.0,84.0,2017.0,,Spain,fallback_team_from,2.5649493574615367,2.0,0.11904761904761904,Top 1-15,13.75,11.0,20-23,Midfielder,Spain,True,True,True,True
Right-Back,24,AC Milan,Serie A,Juventus,Serie A,2017,12.0,8.5,Sciglio,AC Milan,76.0,81.0,2017.0,Mattia De Sciglio,Italy,fallback_lastname_season,2.5649493574615367,3.5,0.10493827160493827,Top 1-15,11.0,19.0,20-23,Defender,Italy,True,True,True,True
Forward,31,Bor. Dortmund,1.Bundesliga,CQ Dangdai Lif.,Super League,2017,12.0,5.0,Ramos,Bor. Dortmund,78.0,78.0,2017.0,Adrián Ramos,Spain,fallback_lastname_season,2.5649493574615367,7.0,0.0641025641025641,Top 1-15,13.5,12.0,30+,Forward,China,False,True,False,True
Defensive Midfield,20,BSC Young Boys,Super League,Bor. M'gladbach,1.Bundesliga,2017,12.0,4.0,Zakaria,BSC Young Boys,68.0,82.0,2017.0,Denis Zakaria,Switzerland,fallback_team_from,2.5649493574615367,8.0,0.04878048780487805,Top 1-15,12.0,12.25,<20,Midfielder,Germany,False,False,False,True
Forward,27,Middlesbrough,Championship,Sheff Wed,Championship,2017,11.7,10.0,Rhodes,Middlesbrough,74.0,76.0,2017.0,Jordan Rhodes,Scotland,fallback_team_from,2.5416019934645457,1.6999999999999993,0.13157894736842105,Top 1-15,9.13,11.7,24-26,Forward,England,False,False,False,True
Goalkeeper,30,Chelsea,Premier League,Bournemouth,Premier League,2017,11.5,8.0,Begovic,Chelsea,83.0,83.0,2017.0,Asmir Begovic,Bosnia Herzegovina,fallback_team_from,2.5257286443082556,3.5,0.0963855421686747,Top 31-45,15.1,11.3,27-29,Goalkeeper,England,False,True,False,True
Forward,26,Toulouse,Ligue 1,Middlesbrough,Championship,2017,11.3,7.5,Braithwaite,Toulouse,78.0,81.0,2017.0,Martin Braithwaite,Denmark,fallback_lastname_season,2.509599262378372,3.8000000000000007,0.09259259259259259,Top 16-30,9.13,8.0,24-26,Forward,England,False,True,False,True
Right Winger,22,Norwich,Championship,Newcastle,Premier League,2017,11.3,1.0,Murphy,Norwich,66.0,77.0,2017.0,Jacob Murphy,Republic of Ireland,fallback_lastname_season,2.509599262378372,10.3,0.012987012987012988,Top 16-30,15.1,12.0,20-23,Winger,England,False,False,True,True
Right Winger,22,Norwich,Championship,Newcastle,Premier League,2017,11.3,1.0,Murphy,Norwich,65.0,75.0,2017.0,Jacob Murphy,Republic of Ireland,fallback_lastname_season,2.509599262378372,10.3,0.013333333333333334,Top 16-30,15.1,12.0,20-23,Winger,England,False,False,True,True
Forward,27,Inter,Serie A,Monaco,Ligue 1,2017,11.0,10.0,Jovetic,Inter,81.0,82.0,2017.0,Stevan Jovetic,Montenegro,fallback_team_from,2.4849066497880004,1.0,0.12195121951219512,Top 31-45,10.0,11.0,24-26,Forward,France,False,True,True,True
Attacking Midfield,28,UD Las Palmas,LaLiga,BJ Sinobo Guoan,Super League,2017,11.0,8.0,Viera,UD Las Palmas,80.0,81.0,2017.0,Jonathan Viera,Spain,fallback_team_from,2.4849066497880004,3.0,0.09876543209876543,Top 1-15,13.5,25.5,27-29,Midfielder,China,False,True,False,True
